CAS,MolecularWeight,BoilingPoint,MeltingPoint,Density,log_kow
50-00-0,30.026,-21.11111111111111,-92.22222222222223,"0.815 at -4 °F anhydrous form (EPA, 1998) - Less dense than water; will float",1.2
60-34-4,46.072,87.77777777777777,-52.388888888888886,"0.874 at 77 °F (EPA, 1998) - Less dense than water; will float",-0.9
64-18-6,46.025,100.72222222222223,8.38888888888889,"1.22 at 68 °F (USCG, 1999) - Denser than water; will sink",-0.2
67-56-1,32.042,64.61111111111111,-97.77777777777777,"0.792 at 68 °F (USCG, 1999) - Less dense than water; will float",-0.5
71-43-2,78.11,80.11111111111111,5.499999999999999,"0.879 at 68 °F (USCG, 1999) - Less dense than water; will float",2.1
74-87-3,50.49,-24.22222222222222,-97.22222222222223,"0.997 at -11.2 °F (USCG, 1999) - Less dense than water; will float",0.8
74-89-5,31.057,-6.5,-92.5,"0.693 at 20.3 °F (USCG, 1999) - Less dense than water; will float",-0.7
74-90-8,27.025,25.555555555555557,-13.88888888888889,"0.69 (NIOSH, 2024) - Less dense than water; will float",0.1
75-01-4,62.50,-13.88888888888889,-153.88888888888889,"0.969 at 8.6 °F (USCG, 1999) - Less dense than water; will float",1.5
75-15-0,76.15,46.666666666666664,-110.55555555555556,"1.2632 at 68 °F (EPA, 1998) - Denser than water; will sink",2.1
75-21-8,44.05,10.722222222222221,-112.5,"0.8222 at 50 °F (EPA, 1998) - Less dense than water; will float",-0.1
75-44-5,98.91,8.333333333333334,-117.77777777777777,"1.432 at 32 °F (EPA, 1998) - Denser than water; will sink",1.8
75-50-3,59.11,2.8888888888888906,-117.11111111111111,"0.633 at 68 °F (USCG, 1999) - Less dense than water; will float",0.3
75-56-9,58.08,34.22777777777778,-112.1277777777778,"0.859 at 32 °F (EPA, 1998) - Less dense than water; will float",
78-93-3,72.11,79.61111111111111,-86.27777777777777,"0.806 at 68 °F (USCG, 1999) - Less dense than water; will float",0.3
78-94-4,70.09,81.66666666666667,-6.666666666666667,"0.8407 to 0.8636 at 68 to 77 °F (EPA, 1998)",0.5
79-10-7,72.06,142.0,13.56,1.0511 g/cu cm at 20 °C,0.3
96-33-3,86.09,80.5,-76.5,"0.956 at 68 °F (USCG, 1999) - Less dense than water; will float",0.8
98-95-3,123.11,210.77777777777777,5.555555555555555,"1.2037 at 68 °F (EPA, 1998) - Denser than water; will sink",1.9
99-99-0,137.14,238.27777777777777,54.5,"1.286 at 68 °F (USCG, 1999) - Denser than water; will sink",2.4
100-44-7,126.58,178.88888888888889,-47.77777777777778,"1.1 at 68 °F (EPA, 1998) - Denser than water; will sink",2.3
107-02-8,56.06,52.22222222222222,-87.77777777777777,"0.8389 to 0.8621 at 32 to 68 °F (EPA, 1998)",
107-05-1,76.52,45.0,-134.5,"0.94 at 68 °F (USCG, 1999) - Less dense than water; will float",1.5
107-13-1,53.06,77.22222222222223,-82.22222222222223,"0.8004 at 77 °F (EPA, 1998) - Less dense than water; will float",0.2
107-15-3,60.10,116.11111111111111,7.777777777777778,"0.898 at 77 °F (EPA, 1998) - Less dense than water; will float",-2
107-18-6,58.08,96.66666666666667,-128.88888888888889,"0.854 at 68 °F (EPA, 1998) - Less dense than water; will float",0.2
108-39-4,108.14,202.77777777777777,11.500000000000002,"1.0336 at 68 °F (USCG, 1999) - Denser than water; will sink",2
108-88-3,92.14,110.61111111111111,-95.0,"0.867 at 68 °F (USCG, 1999) - Less dense than water; will float",2.7
108-95-2,94.11,182.22222222222223,42.77777777777778,"1.04 at 105.8 °F (USCG, 1999) - Denser than water; will sink",1.5
109-73-9,73.14,78.0,-50.0,"0.741 at 68 °F (USCG, 1999) - Less dense than water; will float",1
121-44-8,101.19,89.27777777777777,-114.72222222222223,"0.729 at 68 °F (USCG, 1999) - Less dense than water; will float",1.4
141-78-6,88.11,77.22222222222223,-83.61111111111111,"0.902 at 68 °F (USCG, 1999) - Less dense than water; will float",0.7
143-33-9,49.007,1496.111111111111,563.8888888888889,"1.6 at 77 °F (USCG, 1999) - Denser than water; will sink",
151-56-4,43.07,55.0,-72.22222222222223,"0.8321 at 68 °F (EPA, 1998) - Less dense than water; will float",-0.4
584-84-9,174.16,251.11111111111111,19.499999999999996,"1.22 at 77 °F (NTP, 1992) - Denser than water; will sink",3.9
630-08-0,28.010,-191.5,-198.88888888888889,"0.791 at -312.7 °F (USCG, 1999) - Less dense than water; will float",0.7
814-68-6,90.51,75.0,,"1.1136 at 68 °F (EPA, 1998) - Denser than water; will sink",1.4
1314-84-7,258.1,1100.0,420.0,"4.55 (EPA, 1998) - Denser than water; will sink",
1338-23-4,210.22,117.77777777777777,,"1.17 at 68 °F (USCG, 1999) - Denser than water; will sink",1.3
4098-71-9,222.28,157.77777777777777,-60.0,"1.056 to 1.062 at 68 °F (USCG, 1999)",4.5
7440-23-5,22.9897693,882.7777777777778,97.5,"0.971 at 68 °F (USCG, 1999) - Less dense than water; will float",
7647-01-0,36.46,50.55555555555556,-114.77777777777777,"1.05 at 59 °F for 10.17% weight/weight solution (EPA, 1998) - Denser than water; will sink",0.8
7664-39-3,20.0064,19.499999999999996,-83.55555555555556,"0.991 at 67.1 °F (EPA, 1998) - Less dense than water; will float",0.6
7664-41-7,17.031,-33.349999999999994,-77.72222222222223,"0.6818 at -28.03 °F (EPA, 1998) - Less dense than water; will float",-0.7
7664-93-9,98.08,290.0,10.36111111111111,"1.841 (EPA, 1998) - Denser than water; will sink",-1.4
7697-37-2,63.013,82.77777777777777,-42.22222222222222,"1.5 at 77 °F (NIOSH, 2024) - Denser than water; will sink",0.2
7719-12-2,137.33,76.11111111111111,-112.22222222222223,"1.574 at 69.8 °F (EPA, 1998) - Denser than water; will sink",2.3
7782-41-4,37.99680632,-188.11111111111111,-219.61111111111111,"1.5127 at -306.6 °F (EPA, 1998) - Denser than water; will sink",1.1
7782-50-5,70.90,-34.611111111111114,-101.11111111111111,"1.424 at 59 °F (pressurized liquid) (USCG, 1999) - Denser than water; will sink",1.6
7783-06-4,34.08,-60.32777777777778,-85.5,"0.916 at -76 °F (EPA, 1998) - Less dense than water; will float",0.5
7784-42-1,77.946,-62.44444444444444,-117.22222222222223,"1.689 at 185 °F (EPA, 1998) - Denser than water; will sink",
7790-94-5,116.53,155.0,-80.0,"1.75 at 68 °F (USCG, 1999) - Denser than water; will sink",-0.1
7803-51-2,33.998,-87.77777777777777,-132.77777777777777,"0.746 at -130 °F (EPA, 1998) - Less dense than water; will float",-0.1
10025-87-3,153.33,106.11111111111111,1.2222222222222239,"1.645 at 77 °F (EPA, 1998) - Denser than water; will sink",1.7
10049-04-4,67.45,11.11111111111111,-58.888888888888886,"1.6 (Liquid at 32 °F) (NIOSH, 2024) - Denser than water; will sink",2.1
19287-45-7,27.67,-92.77777777777777,-165.0,"0.447 at -169.6 °F (EPA, 1998) - Less dense than water; will float",
10102-43-9,30.006,-151.72222222222223,-163.61111111111111,"1.27 at -238.36 °F (EPA, 1998) - Denser than water; will sink",0.2
75-52-5,61.040,101.22222222222223,-28.88888888888889,"1.139 at 68 °F (USCG, 1999) - Denser than water; will sink",0.1
6484-52-2,80.044,200.0,169.88888888888889,"1.72 at 68 °F (USCG, 1999) - Denser than water; will sink",
100-97-0,140.19,1992.0,280.0,"1.35 at 68 °F (USCG, 1999) - Denser than water; will sink",0.3
7722-84-1,34.015,150.22222222222223,-0.3888888888888885,"1.11 at 68 °F (NTP, 1992) - Denser than water; will sink",-0.9
3811-04-9,122.55,400.0,360.0,"2.34 at 68 °F (USCG, 1999) - Denser than water; will sink",
7757-79-1,101.103,400.0,334.0,"2.109 (USCG, 1999) - Denser than water; will sink",
7778-74-7,138.55,,400.0,2.53 g/cu cm,
7722-64-7,158.034,,240.0,"2.7 at 59 °F (USCG, 1999) - Denser than water; will sink",
7775-09-9,106.44,,247.77777777777777,"2.49 at 59 °F (USCG, 1999) - Denser than water; will sink",
7631-99-4,84.995,380.0,306.77777777777777,"2.26 at 68 °F (USCG, 1999) - Denser than water; will sink",
107-44-8,140.09,147.22222222222223,-57.22222222222222,"1.1 at 68 °F (EPA, 1998) - Denser than water; will sink",0.8
506-77-4,61.47,13.11111111111111,-6.666666666666667,"1.222 at 32 °F (USCG, 1999) - Denser than water; will sink",1
13463-39-3,170.73,42.77777777777778,-19.0,"1.318 at 62.6 °F (EPA, 1998) - Denser than water; will sink",
7782-65-2,76.66,-88.33333333333333,-166.11111111111111,3.133 g/L,
116-14-3,100.01,-76.27777777777777,-142.5,"1.519 at -105 °F (NTP, 1992) - Denser than water; will sink",1.3
7637-07-2,67.81,-100.0,-126.72222222222223,"1.6 (EPA, 1998) - Denser than water; will sink",
10294-34-5,117.2,12.5,-107.22222222222223,"1.35 at 53.6 °F (EPA, 1998) - Denser than water; will sink",
685-63-2,162.03,5.850000000000023,,,1.8
7726-95-6,159.81,59.55555555555556,-7.222222222222222,"3.1023 at 77 °F (EPA, 1998) - Denser than water; will sink",1.9
7783-07-5,80.99,-41.3,-65.73,2.12 at -42 °C/4 °C (liquid); 3.614 g/L (gas),
78-79-5,68.12,34.067,-145.95,0.679 g/cu cm at 20 °C,2.5
75-35-4,96.94,31.72222222222222,-122.5,"1.21 at 68 °F (USCG, 1999) - Denser than water; will sink",2.3
107-46-0,162.38,99.0,-66.0,0.7638 at 20 °C,
13463-40-6,195.90,102.66666666666667,-21.0,"1.457 at 69.8 °F (EPA, 1998) - Denser than water; will sink",
7789-30-2,174.90,41.111111111111114,-60.0,"2.48 at 68 °F (USCG, 1999) - Denser than water; will sink",3.7
7719-09-7,118.97,76.11111111111111,-104.44444444444444,"1.64 (NIOSH, 2024) - Denser than water; will sink",1.5
7550-45-0,189.7,136.38888888888889,-24.11111111111111,"1.726 (EPA, 1998) - Denser than water; will sink",
76-06-2,164.37,112.22222222222223,-69.22222222222223,"1.64 at 77 °F (USCG, 1999) - Denser than water; will sink",2.1
109-92-2,72.11,35.55555555555556,-115.0,"0.7589 at 68 °F (USCG, 1999) - Less dense than water; will float",1
7803-62-5,32.117,-111.66666666666667,-185.0,0.68 at -185 °C (liquid),
1590-87-0,56.17,,,,
4109-96-0,101.00,8.0,-122.0,,
10025-78-2,135.45,32.22222222222222,-127.22222222222223,"1.344 at 68 °F (USCG, 1999) - Denser than water; will sink",
75-54-7,114.02,41.5,-92.77777777777777,"1.11 at 77 °F (USCG, 1999) - Denser than water; will sink",
75-79-6,149.47,66.66666666666667,-77.77777777777777,"1.27 at 77 °F (EPA, 1998) - Denser than water; will sink",
75-94-5,161.48,90.61111111111111,-95.0,"1.26 at 68 °F (USCG, 1999) - Denser than water; will sink",
115-21-9,163.50,97.77777777777777,-105.55555555555556,"1.2381 at 68 °F (EPA, 1998) - Denser than water; will sink",
75-76-3,88.22,26.6,-99.06,0.641 g/cu cm at 25 °C,
10026-04-7,169.9,57.611111111111114,-70.0,"1.48 at 68 °F (USCG, 1999) - Denser than water; will sink",
7783-61-1,104.079,-86.0,-90.2,0.00469 g/cu-cm (STP); 1.598 g/cu-cm (liquid at -80 °C); 2.145 g/cu-cm (solid at -195 °C),
