CAS,Category,Year
119-38-0,ToxicOnly
163831-67-2,ToxicOnly
1689-83-4,ToxicOnly
26087-47-8,ToxicOnly
1341-49-7,ToxicOnly
2104-64-5,ToxicOnly
12185-10-3,ToxicOnly
20859-73-8,ToxicOnly
52315-07-8,ToxicOnly
137-30-4,ToxicOnly
10102-45-1,ToxicOnly
2439-01-2,ToxicOnly
106870-78-4,ToxicOnly
95465-99-9,ToxicOnly
671-04-5,ToxicOnly
63-25-2,ToxicOnly
55285-14-8,ToxicOnly
786-19-6,ToxicOnly
1563-66-2,ToxicOnly
7440-09-7,ToxicOnly
11135-81-2,ToxicOnly
15263-53-3,ToxicOnly
8001-35-2,ToxicOnly
2425-06-1,ToxicOnly
133-06-2,ToxicOnly
81-82-3,ToxicOnly
5836-29-3,ToxicOnly
117-52-2,ToxicOnly
572-48-5,ToxicOnly
13593-03-8,ToxicOnly
2797-51-5,ToxicOnly
1319-77-3,ToxicOnly
7700-17-6,ToxicOnly
4170-30-3,ToxicOnly
535-89-7,ToxicOnly
15096-52-3,ToxicOnly
1300-71-6,ToxicOnly
1330-20-7,ToxicOnly
107-30-2,ToxicOnly
79-11-8,ToxicOnly
1897-45-6,ToxicOnly
3691-35-8,ToxicOnly
67-66-3,ToxicOnly
5836-73-7,ToxicOnly
96-24-2,ToxicOnly
57-74-9,ToxicOnly
6164-98-3,ToxicOnly
24934-91-6,ToxicOnly
21923-23-9,ToxicOnly
470-90-6,ToxicOnly
2921-88-2,ToxicOnly
51487-69-5,ToxicOnly
13071-79-9,ToxicOnly
96491-05-3,ToxicOnly
35996-61-3,ToxicOnly
119168-77-3,ToxicOnly
127-18-4,ToxicOnly
731-27-1,ToxicOnly
66841-25-6,ToxicOnly
99257-43-9,ToxicOnly
1031-47-6,ToxicOnly
112143-82-5,ToxicOnly
24017-47-8,ToxicOnly
327-98-0,ToxicOnly
76-03-9,ToxicOnly
79-01-6,ToxicOnly
52-68-6,ToxicOnly
603-35-0,ToxicOnly
1582-09-8,ToxicOnly
1493-13-6,ToxicOnly
137-26-8,ToxicOnly
297-97-2,ToxicOnly
59669-26-0,ToxicOnly
640-15-3,ToxicOnly
79-19-6,ToxicOnly
5349-28-0,ToxicOnly
31895-21-3,ToxicOnly
39196-18-4,ToxicOnly
298-00-0,ToxicOnly
56-38-2,ToxicOnly
52-85-7,ToxicOnly
22224-92-6,ToxicOnly
120928-09-8,ToxicOnly
62850-32-2,ToxicOnly
71283-80-2,ToxicOnly
122-14-5,ToxicOnly
25265-76-3,ToxicOnly
100-63-0,ToxicOnly
51630-58-1,ToxicOnly
115-90-2,ToxicOnly
2275-14-1,ToxicOnly
87-86-5,ToxicOnly
2597-03-7,ToxicOnly
55-38-9,ToxicOnly
134098-61-6,ToxicOnly
944-22-9,ToxicOnly
298-02-2,ToxicOnly
2540-82-1,ToxicOnly
22259-30-9,ToxicOnly
2310-17-0,ToxicOnly
732-11-6,ToxicOnly
4104-14-7,ToxicOnly
98886-44-3,ToxicOnly
21548-32-3,ToxicOnly
13171-21-6,ToxicOnly
947-02-4,ToxicOnly
133-07-3,ToxicOnly
65907-30-4,ToxicOnly
98-01-1,ToxicOnly
3309-87-3,ToxicOnly
2631-37-0,ToxicOnly
2275-18-5,ToxicOnly
2312-35-8,ToxicOnly
111479-05-1,ToxicOnly
7292-16-2,ToxicOnly
41198-08-7,ToxicOnly
31218-83-4,ToxicOnly
114-26-1,ToxicOnly
79723-02-7,ToxicOnly
90035-08-8,ToxicOnly
131341-86-1,ToxicOnly
69409-94-5,ToxicOnly
106917-52-6,ToxicOnly
70124-77-5,ToxicOnly
79622-59-6,ToxicOnly
16961-83-4,ToxicOnly
16872-11-0,ToxicOnly
351-05-3,ToxicOnly
144-49-0,ToxicOnly
640-19-7,ToxicOnly
7681-49-4,ToxicOnly
2699-79-8,ToxicOnly
7789-23-3,ToxicOnly
108-35-0,ToxicOnly
108-34-9,ToxicOnly
89784-60-1,ToxicOnly
107-49-3,ToxicOnly
96489-71-3,ToxicOnly
53558-25-1,ToxicOnly
23103-98-2,ToxicOnly
5221-49-8,ToxicOnly
23505-41-1,ToxicOnly
1336-36-3,ToxicOnly
88-89-1,ToxicOnly
120068-37-3,ToxicOnly
83-26-1,ToxicOnly
16079-88-2,ToxicOnly
111872-58-3,ToxicOnly
757-58-4,ToxicOnly
77-47-4,ToxicOnly
76-44-8,ToxicOnly
23560-59-0,ToxicOnly
77-78-1,ToxicOnly
64-67-5,ToxicOnly
7446-18-6,ToxicOnly
302-01-2,ToxicOnly
7803-49-8,ToxicOnly
91-59-8,ToxicOnly
94-75-7,ToxicOnly
97-02-9,ToxicOnly
51-28-5,ToxicOnly
793-24-8,ToxicOnly
150-70-9,ToxicOnly
106-93-4,ToxicOnly
96-12-8,ToxicOnly
4554-16-9,ToxicOnly
869-29-4,ToxicOnly
122431-24-7,ToxicOnly
101-68-8,ToxicOnly
594-72-9,ToxicOnly
609-89-2,ToxicOnly
172343-40-7,ToxicOnly
96-23-1,ToxicOnly
542-75-6,ToxicOnly
553-26-4,ToxicOnly
62262-84-4,ToxicOnly
5124-30-1,ToxicOnly
78-82-0,ToxicOnly
106-51-4,ToxicOnly
110-65-6,ToxicOnly
4299-07-4,ToxicOnly
767-10-2,ToxicOnly
540-51-2,ToxicOnly
107-04-0,ToxicOnly
122453-73-0,ToxicOnly
100-69-6,ToxicOnly
100-43-6,ToxicOnly
10563-26-5,ToxicOnly
91273-04-0,ToxicOnly
92-67-1,ToxicOnly
2113-61-3,ToxicOnly
60-09-3,ToxicOnly
108-42-9,ToxicOnly
504-24-5,ToxicOnly
6291-85-6,ToxicOnly
2425-66-3,ToxicOnly
95-51-2,ToxicOnly
107-07-3,ToxicOnly
3647-69-6,ToxicOnly
109-09-1,ToxicOnly
135410-20-7,ToxicOnly
79-27-6,ToxicOnly
20018-09-1,ToxicOnly
78-48-8,ToxicOnly
93-76-5,ToxicOnly
70750-20-8,ToxicOnly
124-02-7,ToxicOnly
107-19-7,ToxicOnly
27083-27-8,ToxicOnly
109-84-2,ToxicOnly
30785-74-1,ToxicOnly
2094-99-7,ToxicOnly
4759-48-2,ToxicOnly
131538-00-6,ToxicOnly
79538-32-2,ToxicOnly
27610-48-6,ToxicOnly
644-97-3,ToxicOnly
20893-30-5,ToxicOnly
13531-52-7,ToxicOnly
1752-30-3,ToxicOnly
101-14-4,ToxicOnly
102-82-9,ToxicOnly
96-09-3,ToxicOnly
1836-75-5,ToxicOnly
869-24-9,ToxicOnly
136426-54-5,ToxicOnly
96182-53-5,ToxicOnly
173584-44-6,ToxicOnly
131807-57-3,ToxicOnly
7652-64-4,ToxicOnly
163520-33-0,ToxicOnly
13952-84-6,ToxicOnly
88-73-3,ToxicOnly
98-00-0,ToxicOnly
122-19-0,ToxicOnly
126-97-6,ToxicOnly
3737-41-5,ToxicOnly
66230-04-4,ToxicOnly
510-15-6,ToxicOnly
126-72-7,ToxicOnly
52645-53-1,ToxicOnly
61-82-5,ToxicOnly
59536-65-1,ToxicOnly
79720-19-7,ToxicOnly
814-49-3,ToxicOnly
559-40-0,ToxicOnly
13530-68-2,ToxicOnly
131013-81-5,ToxicOnly
107-12-0,ToxicOnly
505-86-2,ToxicOnly
112-02-7,ToxicOnly
57-09-0,ToxicOnly
124-23-2,ToxicOnly
69711-44-0,ToxicOnly
3380-30-1,ToxicOnly
153965-50-5,ToxicOnly
137398-54-0,ToxicOnly
128275-31-0,ToxicOnly
25154-52-3,ToxicOnly
104-40-5,ToxicOnly
84852-15-3,ToxicOnly
139-84-4,ToxicOnly
136-83-4,ToxicOnly
140-66-9,ToxicOnly
128-04-1,ToxicOnly
115-86-6,ToxicOnly
107-06-2,ToxicOnly
545-06-2,ToxicOnly
920-46-7,ToxicOnly
38668-48-3,ToxicOnly
90076-65-6,ToxicOnly
3570-55-6,ToxicOnly
1631-25-0,ToxicOnly
6711-48-4,ToxicOnly
75-59-2,ToxicOnly
971-66-4,ToxicOnly
71604-74-5,ToxicOnly
110656-67-2,ToxicOnly
97659-53-5,ToxicOnly
93705-66-9,ToxicOnly
3410-77-3,ToxicOnly
569-64-2,ToxicOnly
109-61-5,ToxicOnly
75-57-0,ToxicOnly
73602-61-6,ToxicOnly
57214-10-5,ToxicOnly
404362-22-7,ToxicOnly
5350-57-2,ToxicOnly
553664-68-9,ToxicOnly
124-63-0,ToxicOnly
7158-25-0,ToxicOnly
35184-08-8,ToxicOnly
91-94-1,ToxicOnly
51-79-6,ToxicOnly
105-33-9,ToxicOnly
127913-44-4,ToxicOnly
84367-31-7,ToxicOnly
214534-44-8,ToxicOnly
119530-69-7,ToxicOnly
119530-70-0,ToxicOnly
21806-61-1,ToxicOnly
68555-36-2,ToxicOnly
81741-28-8,ToxicOnly
117-81-7,ToxicOnly
84-74-2,ToxicOnly
85-68-7,ToxicOnly
122454-29-9,ToxicOnly
13292-87-0,ToxicOnly
163269-30-5,ToxicOnly
25307-17-9,ToxicOnly
354-32-5,ToxicOnly
874299-51-1,ToxicOnly
874299-52-2,ToxicOnly
874299-53-3,ToxicOnly
131013-83-7,ToxicOnly
173010-79-2,ToxicOnly
116340-05-7,ToxicOnly
328249-37-2,ToxicOnly
30417-37-9,ToxicOnly
478695-70-4,ToxicOnly
148812-65-1,ToxicOnly
148788-55-0,ToxicOnly
116808-67-4,ToxicOnly
161453-44-7,ToxicOnly
197447-16-8,ToxicOnly
98485-71-3,ToxicOnly
146058-40-4,ToxicOnly
198404-98-7,ToxicOnly
3100-36-5,ToxicOnly
3153-26-2,ToxicOnly
156105-38-3,ToxicOnly
75-86-5,ToxicOnly
1702-42-7,ToxicOnly
149057-64-7,ToxicOnly
541-59-3,ToxicOnly
91-97-4,ToxicOnly
113538-79-7,ToxicOnly
113538-80-0,ToxicOnly
95718-78-8,ToxicOnly
84-67-3,ToxicOnly
109-74-0,ToxicOnly
16627-68-2,ToxicOnly
722-56-5,ToxicOnly
13360-57-1,ToxicOnly
913269-98-4,ToxicOnly
68156-13-8,ToxicOnly
3380-34-5,ToxicOnly
250578-38-2,ToxicOnly
117933-89-8,ToxicOnly
227199-92-0,ToxicOnly
31775-89-0,ToxicOnly
1027326-93-7,ToxicOnly
7789-24-4,ToxicOnly
478945-46-9,ToxicOnly
2527-66-4,ToxicOnly
678966-16-0,ToxicOnly
123-81-9,ToxicOnly
7786-81-4,ToxicOnly
123-31-9,ToxicOnly
26471-62-5,ToxicOnly
91-08-7,ToxicOnly
2795-39-3,ToxicOnly
94-36-0,ToxicOnly
118612-00-3,ToxicOnly
1892-03-1,ToxicOnly
15396-00-6,ToxicOnly
12125-01-8,ToxicOnly
1530-32-1,ToxicOnly
101-90-6,ToxicOnly
47073-92-7,ToxicOnly
86347-14-0,ToxicOnly
341-58-2,ToxicOnly
154279-60-4,ToxicOnly
137-07-5,ToxicOnly
130841-23-5,ToxicOnly
13080-86-9,ToxicOnly
425670-97-9,ToxicOnly
661476-43-3,ToxicOnly
29103-75-1,ToxicOnly
7479-12-1,ToxicOnly
602-56-2,ToxicOnly
294847-79-3,ToxicOnly
34079-31-7,ToxicOnly
33271-88-4,ToxicOnly
332350-93-3,ToxicOnly
176022-82-5,ToxicOnly
119-90-4,ToxicOnly
131812-67-4,ToxicOnly
131812-52-7,ToxicOnly
131812-51-6,ToxicOnly
110-57-6,ToxicOnly
1303-86-2,ToxicOnly
73003-80-2,ToxicOnly
920-37-6,ToxicOnly
89697-78-9,ToxicOnly
57028-96-3,ToxicOnly
26172-55-4,ToxicOnly
2682-20-4,ToxicOnly
7173-51-5,ToxicOnly
1193-21-1,ToxicOnly
521065-36-1,ToxicOnly
18721-51-2,ToxicOnly
869795-96-0,ToxicOnly
119791-41-2,ToxicOnly
13159-52-9,ToxicOnly
866-81-9,ToxicOnly
141668-35-1,ToxicOnly
850918-68-2,ToxicOnly
93982-96-8,ToxicOnly
1937-37-7,ToxicOnly
16071-86-6,ToxicOnly
556-52-5,ToxicOnly
88-72-2,ToxicOnly
50985-55-2,ToxicOnly
117646-83-0,ToxicOnly
409325-06-0,ToxicOnly
1233844-88-6,ToxicOnly
75-75-2,ToxicOnly
91-22-5,ToxicOnly
1120-71-4,ToxicOnly
27804-64-4,ToxicOnly
13862-16-3,ToxicOnly
82857-68-9,ToxicOnly
409071-16-5,ToxicOnly
171611-11-3,ToxicOnly
96-13-9,ToxicOnly
374572-91-5,ToxicOnly
24389-25-1,ToxicOnly
223436-99-5,ToxicOnly
136040-19-2,ToxicOnly
1458-98-6,ToxicOnly
938451-30-0,ToxicOnly
107667-02-7,ToxicOnly
65753-47-1,ToxicOnly
15573-38-3,ToxicOnly
87-90-1,ToxicOnly
2451-62-9,ToxicOnly
26530-20-1,ToxicOnly
2893-78-9,ToxicOnly
124-70-9,ToxicOnly
13043-05-5,ToxicOnly
41563-69-3,ToxicOnly
106-99-0,ToxicOnly
68-12-2,ToxicOnly
121-14-2,ToxicOnly
110-80-5,ToxicOnly
96-45-7,ToxicOnly
109-86-4,ToxicOnly
101-77-9,ToxicOnly
872-50-4,ToxicOnly
91-21-4,ToxicOnly
107-32-4,ToxicOnly
697-83-6,ToxicOnly
236408-49-4,ToxicOnly
13763-19-4,ToxicOnly
33027-66-6,ToxicOnly
56-18-8,ToxicOnly
7378-99-6,ToxicOnly
959974-09-5,ToxicOnly
917924-18-6,ToxicOnly
373-68-2,ToxicOnly
1953-99-7,ToxicOnly
13453-75-3,ToxicOnly
16499-88-0,ToxicOnly
1039756-60-9,ToxicOnly
120-94-5,ToxicOnly
182442-95-1,ToxicOnly
28178-42-9,ToxicOnly
52980-20-8,ToxicOnly
2391-56-2,ToxicOnly
20407-84-5,ToxicOnly
68910-05-4,ToxicOnly
75-89-8,ToxicOnly
206565-89-1,ToxicOnly
1329-99-3,ToxicOnly
1558-33-4,ToxicOnly
144020-22-4,ToxicOnly
1066-35-9,ToxicOnly
16156-58-4,ToxicOnly
1109-15-5,ToxicOnly
118712-89-3,ToxicOnly
4826-62-4,ToxicOnly
1245634-39-2,ToxicOnly
1254940-85-6,ToxicOnly
1392325-86-8,ToxicOnly
1315251-11-6,ToxicOnly
25952-53-8,ToxicOnly
2372-82-9,ToxicOnly
40043-73-0,ToxicOnly
912290-04-1,ToxicOnly
1569262-17-4,ToxicOnly
86-57-7,ToxicOnly
66327-54-6,ToxicOnly
592-39-2,ToxicOnly
5570-19-4,ToxicOnly
65405-84-7,ToxicOnly
6299-39-4,ToxicOnly
638-29-9,ToxicOnly
30168-23-1,ToxicOnly
2501-94-2,ToxicOnly
73771-62-7,ToxicOnly
1146597-81-0,ToxicOnly
425670-64-0,ToxicOnly
110429-36-2,ToxicOnly
1011514-41-2,ToxicOnly
1638216-03-1,ToxicOnly
25640-78-2,ToxicOnly
2374-14-3,ToxicOnly
106-46-7,ToxicOnly
5989-27-5,ToxicOnly
78-87-5,ToxicOnly
64359-81-5,ToxicOnly
13965-73-6,ToxicOnly
3375-31-3,ToxicOnly
136122-15-1,ToxicOnly
102767-76-0,ToxicOnly
53803-13-7,ToxicOnly
61764-71-4,ToxicOnly
259854-70-1,ToxicOnly
259854-71-2,ToxicOnly
1112983-16-0,ToxicOnly
66003-78-9,ToxicOnly
284474-28-8,ToxicOnly
345580-99-6,ToxicOnly
1186651-99-9,ToxicOnly
1373359-69-3,ToxicOnly
1523503-87-8,ToxicOnly
1391992-23-6,ToxicOnly
1719-58-0,ToxicOnly
68391-04-8,ToxicOnly
13922-41-3,ToxicOnly
22535-49-5,ToxicOnly
1225193-85-0,ToxicOnly
85916-01-4,ToxicOnly
24860-22-8,ToxicOnly
72162-46-0,ToxicOnly
195384-27-1,ToxicOnly
195384-28-2,ToxicOnly
26134-62-3,ToxicOnly
62566-74-9,ToxicOnly
4635-59-0,ToxicOnly
42867-40-3,ToxicOnly
13466-78-9,ToxicOnly
22083-74-5,ToxicOnly
24636-31-5,ToxicOnly
768-66-1,ToxicOnly
1672739-33-1,ToxicOnly
162627-18-1,ToxicOnly
16962-31-5,ToxicOnly
393110-05-9,ToxicOnly
99591-74-9,ToxicOnly
1331747-26-2,ToxicOnly
1639212-96-6,ToxicOnly
1257085-86-1,ToxicOnly
123215-04-3,ToxicOnly
5202-85-7,ToxicOnly
90076-67-8,ToxicOnly
1022939-88-3,ToxicOnly
69094-18-4,ToxicOnly
55566-30-8,ToxicOnly
352-87-4,ToxicOnly
1609-86-5,ToxicOnly
577-16-2,ToxicOnly
110-61-2,ToxicOnly
431059-71-1,ToxicOnly
144317-44-2,ToxicOnly
1576-35-8,ToxicOnly
870296-13-2,ToxicOnly
258872-05-8,ToxicOnly
757235-57-7,ToxicOnly
13641-96-8,ToxicOnly
34140-91-5,ToxicOnly
59653-74-6,ToxicOnly
951627-45-5,ToxicOnly
6294-89-9,ToxicOnly
26386-88-9,ToxicOnly
240494-70-6,ToxicOnly
3252-43-5,ToxicOnly
3965-00-2,ToxicOnly
199111-50-7,ToxicOnly
100912-15-0,ToxicOnly
58-27-5,ToxicOnly
1644433-00-0,ToxicOnly
120441-92-1,ToxicOnly
600-05-5,ToxicOnly
1328506-26-8,ToxicOnly
84144-79-6,ToxicOnly
194934-66-2,ToxicOnly
100124-06-9,ToxicOnly
1002754-39-3,ToxicOnly
1112-55-6,ToxicOnly
111-64-8,ToxicOnly
1306617-58-2,ToxicOnly
1454803-04-3,ToxicOnly
147102-97-4,ToxicOnly
201363-52-2,ToxicOnly
25054-76-6,ToxicOnly
25081-70-3,ToxicOnly
32316-92-0,ToxicOnly
3349-06-2,ToxicOnly
68572-87-2,ToxicOnly
1159919-46-6,ToxicOnly
1424752-15-7,ToxicOnly
18836-52-7,ToxicOnly
2043356-12-1,ToxicOnly
26672-22-0,ToxicOnly
33885-52-8,ToxicOnly
467-63-0,ToxicOnly
56172-46-4,ToxicOnly
615-21-4,ToxicOnly
69563-88-8,ToxicOnly
857023-53-1,ToxicOnly
6535-70-2,ToxicOnly
70693-64-0,ToxicOnly
116735-74-1,ToxicOnly
13861-22-8,ToxicOnly
1588442-20-9,ToxicOnly
3913-81-3,ToxicOnly
5317-66-8,ToxicOnly
852023-54-2,ToxicOnly
85272-31-7,ToxicOnly
67634-20-2,ToxicOnly
68039-39-4,ToxicOnly
68511-92-2,ToxicOnly
120118-14-1,ToxicOnly
119313-12-1,ToxicOnly
3597-91-9,ToxicOnly
86089-17-0,ToxicOnly
263137-41-3,ToxicOnly
284685-45-6,ToxicOnly
921213-47-0,ToxicOnly
375395-33-8,ToxicOnly
265647-11-8,ToxicOnly
1239647-75-6,ToxicOnly
61791-46-6,ToxicOnly
2437-25-4,ToxicOnly
23911-56-0,ToxicOnly
71449-78-0,ToxicOnly
384347-07-3,ToxicOnly
95962-14-4,ToxicOnly
106-95-6,ToxicOnly
1073-05-8,ToxicOnly
116714-46-6,ToxicOnly
123-75-1,ToxicOnly
1400865-07-7,ToxicOnly
14595-54-1,ToxicOnly
1488380-58-0,ToxicOnly
1966153-30-9,ToxicOnly
216970-21-7,ToxicOnly
33885-51-7,ToxicOnly
3913-71-1,ToxicOnly
433337-23-6,ToxicOnly
4360-47-8,ToxicOnly
460731-19-5,ToxicOnly
80858-47-5,ToxicOnly
85409-23-0,ToxicOnly
992-98-3,ToxicOnly
27936-43-2,ToxicOnly
68109-88-6,ToxicOnly
1158533-82-4,ToxicOnly
143860-04-2,ToxicOnly
1623405-26-4,ToxicOnly
1814903-27-9,ToxicOnly
2097-19-0,ToxicOnly
2622-14-2,ToxicOnly
3407-42-9,ToxicOnly
3724-43-4,ToxicOnly
41267-76-9,ToxicOnly
56792-69-9,ToxicOnly
61813-52-3,ToxicOnly
68186-41-4,ToxicOnly
232938-10-2,ToxicOnly
78-06-8,ToxicOnly
13269-74-4,ToxicOnly
14992-62-2,Other
7559-18-4,Other
100459-00-5,Other
78-96-6,Other
205189-34-0,Other
97-00-7,Other
2715-68-6,Other
562-43-6,Other
573-35-3,Other
25323-30-2,Other
